orbis_id,company_name,legal_name,country_code,country_name,incorporation_date,status,industry_code,industry_name,ultimate_parent_name,ultimate_parent_country,beneficial_owners,share_capital,revenue,employees,risk_score,last_updated,email,phone,address
ORB001,Acme Corp Ltd,Acme Corporation Limited,US,United States,2010-03-15,Active,4510,Software Development,Global Tech Holdings,US,"John Smith (45%), Mary Johnson (30%), Bob Williams (25%)",5000000,25000000,150,Medium,2024-01-15,acme@acmecorp.com,555-123-4567,123 Business Blvd New York NY 10001
ORB002,Smith Enterprises,Smith Enterprises Inc,US,United States,2008-07-22,Active,4520,IT Services,None,US,"J. Smith (100%)",1000000,5000000,25,Low,2024-01-10,contact@smitherprises.com,555-234-5678,456 Commerce St Chicago IL 60601
ORB003,Johnson Manufacturing,Johnson Manufacturing Co,US,United States,2012-11-08,Active,2510,Manufacturing,Johnson Group,US,"Mary J Johnson (60%), Michael Johnson (40%)",8000000,45000000,200,Medium,2024-01-12,info@johnsonmfg.com,555-345-6789,789 Industrial Ave Austin TX 73301
ORB004,Williams Trading,Williams Trading LLC,US,United States,2015-04-30,Active,4610,Wholesale Trade,None,US,"Robert Williams (80%), Susan Davis (20%)",2000000,12000000,45,Low,2024-01-08,trade@williamstrading.com,555-456-7890,321 Trade Blvd Boston MA 02101
ORB005,Davis Consulting,Davis Consulting Group,US,United States,2013-09-14,Active,7020,Management Consulting,None,US,"Susan Davis (100%)",500000,3000000,12,Low,2024-01-14,consult@davisconsulting.com,555-567-8901,654 Consulting Dr Denver CO 80202
ORB006,Brown Holdings,Brown Holdings Ltd,US,United States,2011-06-03,Active,6420,Financial Services,Brown Financial Group,US,"Lisa Brown (70%), Mike Johnson (30%)",15000000,75000000,300,High,2024-01-11,holdings@brownholdings.com,555-678-9012,987 Finance Ave Miami FL 33101
ORB007,Johnson Ventures,Johnson Ventures Inc,US,United States,2016-02-18,Active,6420,Financial Services,None,US,"Michael Johnson (100%)",3000000,8000000,18,Medium,2024-01-09,ventures@johnsonventures.com,555-789-0123,123 Venture St Dallas TX 75201
ORB008,Global Imports,Global Imports & Exports,US,United States,2009-12-05,Active,4610,Wholesale Trade,International Trade Corp,US,"John Smith (40%), Mary Johnson (35%), Bob Williams (25%)",12000000,65000000,180,High,2024-01-13,imports@globalimports.com,555-890-1234,456 Import Ave Seattle WA 98101
ORB009,Tech Solutions,Tech Solutions International,US,United States,2014-08-20,Active,4510,Software Development,Tech Holdings Ltd,US,"Lisa Brown (55%), Mike Johnson (45%)",7000000,35000000,120,Medium,2024-01-07,tech@techsolutions.com,555-901-2345,789 Tech Blvd Phoenix AZ 85001
ORB010,Secure Systems,Secure Systems Corp,US,United States,2017-01-10,Active,4510,Software Development,None,US,"Robert Williams (60%), Susan Davis (40%)",4000000,15000000,85,Medium,2024-01-16,secure@securesystems.com,555-012-3456,321 Security St San Francisco CA 94101
